Acronym,Definition,Source(s)
FC,Feed Cap: a cryogenic component that connects a transfer line to a cryomodule through a modified cryomodule-style interconnect,Cryogenic_Distribution_System_ICD.pdf page 3
FC,Feed Cap is a cryogenic component that connects a supply transfer line to a cryomodule,LCLSII-HE-1.3-TS-0393.pdf page 5
FC,Feed Caps,LCLS-II_CDS_Piping_UT_Examination_Service.pdf page 4
FCDG0DU,Faraday cup at the end of the DIAG0 line.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
FCM,Field Construction Manager,LCLSII-HE-1.6-SW-0799.pdf page 6
FCO,Field Change Order,Procurement_Plan.pdf page 5
FCOM,"Fast Feedback dedicated network, uses multi-cast protocol; also referred to as FNET",LCLSII-HE-1.5-ES-0326.pdf page 3
FDR,Final Design Report,LCLSII-HE-1.6-SW-0433.pdf page 3
FDR,Final Design Review (~90% Design Completion),LCLSII-HE-1.1-QA-0230.pdf page 5
FDR,Final Design Review,LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
FEA,Finite Element Analysis,XTES_Photon_Stoppers.pdf page 3
FEB,Front End Board,LCLSII-HE-1.5-ES-0168.pdf page 3
FEE,Front End Enclsoure,LCLS-II_Readiness_Review_Process.pdf page 5
FEE,Front End Enclosure section of the UXT,CDR-full.pdf page 511
FEE,Front End Enclosure when referencing tunnel enclosure. Front End Electronics when referencing sensor processing.,Radiation_Safety_System_Controls.pdf page 3
FEE,Front-End Enclosure,XTES_Adjustable_Apertures_FR.pdf page 2
FEE,"Front End Enclosure, Area after the electron Beam Dump Area",XTES_Test_Photon_Stopper.pdf page 4
FEE,Front End Enclosure,LCLSII-HE-1.1-PR-0047.pdf page 3
FEE,"Front End Enclosure, building 940",XTES_Raytrace_Construction_Document_ESD.pdf page 3
FEH,Far Experimental Hall,LCLSII-HE-1.4-ES-0565.pdf page 4
FEL,Free-Electron Laser,XTES_Gas_Energy_Monitors.pdf page 3
FEL,Free Electron Laser,LCLSII-HE-1.4-ES-0651.pdf page 3
FESHM,"Fermilab Environmental, Safety and Health Manual",FNAL_CMTS1.pdf page 3
FESHM (####),"Fermilab Environment, Health and Safety Manual (Chapter Number)",ODHA_PM.pdf page 4
FF,Feed-Forward,CDR-full.pdf page 511
FFB,Fast Feedback,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
FHA,Fire Hazard Analysis,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
FHA,Project Fire Hazard Analysis (used in lieu of “PFHA” at SLAC*),Fire_Hazard_Analysis.pdf page 35
FIFO,First-In First-Out (Memory structure),HPS_Common_Platform_Engineering_Specification.pdf page 4
FIR,finite impulse response,CDR-full.pdf page 511
FIS,Facilities and Infrastructure Systems,LCLSII-HE-1.5-IC-0488.pdf page 4
FIT,Failure in Time – failure rate of 1 per 109 hours,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
FLASH,Free-electron -LASer in Hamburg (at DESY),CDR-full.pdf page 511
FM,Fire Marshall,LCLSII-HE-1.6-SW-0799.pdf page 6
FM,Factory Mutual,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
FMC,FPGA Mezzanine Card,LCLSII-HE-1.5-ES-0192.pdf page 4
FMEA,Failure Modes and Effects Analysis,Cryogenic_Controls_ESD.pdf page 5
FMEA,Failure Mode and Effects Analysis,ODHA_PM.pdf page 4
FMECA,"Failure Modes, Effects, and Criticality Analysis",LCLSII-HE-1.1-PM-0219.pdf page 5
FNAL,"Fermi National Accelerator Laboratory, or Fermilab",CDR-full.pdf page 511
FNAL,Fermi National Accelerator Facility,Tooling_FRS.pdf page 2
FNAL,Fermilab National Accelerator Laboratory,LCLSII-HE-1.1-PM-0219.pdf page 5
FNAL,Fermi National Accelerator Laboratory,1.3_GHz_Cryomodule_Technical_Description.pdf page 3
FNET,Fast Feedback Network,LCLS-II_LCLS_CLTS.pdf page 2
FNET,Fast Feedback (FF) Network,LCLSII-HE-1.5-ES-0326.pdf page 3
FODO,Focusing-drift-Defocusing-drift (electron optics lattice focusing type),CDR-full.pdf page 511
FODO,Focusing-Drift-Defocusing-Drift,LCLSII-HE-1.1-PR-0014.pdf page 3
FODU,Fiber Optic Distribution Unit,LCLSII-HE-1.5-IC-0488.pdf page 4
FOV,Field-Of-View,CDR-full.pdf page 511
FP,Fire Protection,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
FPC,Fundamental Power Coupler: provides insertion point for high power RF into the cavities.,1.3_GHz_Cryomodule_Interfaces.pdf page 4
FPC,Fundamental Power Coupler,Accelerator_Systems_to_Cryogenic_Systems.pdf page 3
FPGA,Field Programmable Gate Array,Beam_Containment_System_Software_Firmware_Configuration_Control_ESD.pdf page 2
FPGA,Field-Programmable Gate Array,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
FRD,Functional Requirement Document,L3_Vacuum_Break_Box_Functional_Requirements.pdf page 3
FRD,Functional Requirements Document,LCLSII-HE-1.3-SW-0618.pdf page 4
FRIB,Facility for Rare Isotope Beams,CDR-full.pdf page 511
FRP3,High performance Flame Retardant Plastic from Laminations Inc.,CDR-full.pdf page 511
FRS,Functional Requirements Specifications,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
FRS,Functional Specification Document,LCLS-II_RF_Cavity_BPM_SC_Mode_Firmware_SOW.pdf page 3
FRS,Functional Requirements Specification,LCLSII-HE-1.4-ES-0651.pdf page 3
FRS,Function Requirement Document,LCLSII-HE-1.3-FR-0245.pdf page 3
FSBL,First Stage Boot Loader,HPS_Common_Platform_Engineering_Specification.pdf page 4
FSD,Functional Specifications Document,XTES_PRD.pdf page 2
FSR,Field Safety Representative,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
FT2,Square feet,CDR-full.pdf page 511
FTL,Femtosecond Timing Lab,LCLSII-HE-1.4-EN-0368.pdf page 2
FWD,Forward Power (W),LCLSII-HE-1.5-FR-0258.pdf page 20
FWHM,Full Width at Half Maximum,CDR-full.pdf page 511
FWHM,Full Width Half Max,XTES_Solid_Attenuator.pdf page 3
FWS,Fast Wire Scanner,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
FWS,LCLS-II Fast Wire Scanner,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
FWVERSION,Firmware Version,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
FXT,FEE and XRT,LCLSII-HE-1.5-ES-0691.pdf page 3
FY,Fiscal Year,CDR-full.pdf page 511
Facilities and Operations (F&O) Infrastructure,The Conventional Infrastructure that supports the LCLS II Infrastructure Systems,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
Fermilab,Fermi National Acceleration Laboratory,Cryogenic_Plant.pdf page 4
First Article,First Unit of the intended Production Run[FDR],SLAC_to_Partner_Laboratories_LLRF_Controls.pdf page 2
First Article,First Unit of the intended Production Run [FDR],LCLSII-HE-1.5-IC-0405.pdf page 3
GAS,Gas attenuator system,XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
GB,Giga Byte,CDR-full.pdf page 511
GC,"General Contractor for the cryoplant installation, Kinetics",HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
GC,General Contractor,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
GC,General Contractor for Cryoplant Installation (KSI),HRS.00.00-SR-SLAC-SRR-1-Pressure_Safety_Report.pdf page 3
GD,Guard,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
GD,Gap Diode,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
GEM,Gas Energy Monitor,XTES_Energy_Monitors_FRS.pdf page 2
GEM,Gas Energy Monitors (HXR gas detectors),XTES_Gas_Energy_Monitors.pdf page 3
GFCI,Ground Fault Circuit Interrupter,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
GFP,Government Furnished Property- to be provided by SLAC to Subcontractor,LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
GFP CI,Government-Furnished Property Contractor-Installed,LCLS-II_NEH_Reconfiguration_Independent_Cost_Estimate_(ICE)_Services_SOW.pdf page 3
GFPCI,Government-Furnished Property Contractor-Installed,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
GHRP,Gas helium return pipe (line B),SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
GHe,Gaseous Helium,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
GHe,Helium Gas,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
GHe,Gas Helium,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
GIS,Global Interface Systems,Systems_Engineering_Management_Plan.pdf page 4
GM,General Motion,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
GMA,GAS moveable aperture,XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
GMD,Gas-Monitor Detector. The legacy device with a single Faraday cup for e- capture. Does not support position measurement.,High-Performance_System_for_the_XTES_GMD_upgrade_and_XGMD_ESD.pdf page 3
GMD,Gas Monitor Detector » Gas Energy Monitors,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
GMD,Gas Monitor Detector (SXR),XTES_Gas_Energy_Monitors.pdf page 3
GMD,"First generation Gas Monitor Detector, located at the Main Dump Hall",HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
GMD,Gas monitor detector,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
GMGT,Gas Management,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
GMS,Gantry and Motion System,Gantry_and_Motion_System__for_Profilometry_SOW.pdf page 2
GN2,Gaseous Nitrogen,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
GND,Ground,LCLSII-HE-1.5-ES-0168.pdf page 3
GPCR,G Protein-Coupler Receptor,CDR-full.pdf page 511
GPIO,General Purpose Input/Output,LCLSII_Injector_Laser_Controls_ESD.pdf page 2
GPM,Gallons Per Minute,CDR-full.pdf page 511
GPS,Global Positioning System (navigation),CDR-full.pdf page 511
GR,Current version of HE project general requirement,LCLSII-HE-1.4-PR-0212.pdf page 3
GRD,Global Requirements Document,LCLSII-HE-1.1-PR-0047.pdf page 3
GRHP,Gas return helium pipe,Tooling_FRS.pdf page 2
GTAW,"Gas tungsten arc welding, also known as tungsten inert gas (TIG)",Inspection_Examination_Services__SOW.pdf page 2
GUI,Graphical User Interface,SXR_Undulator_Motion_Control_ESD.pdf page 3
"GUI, UI",Graphical User Interface,LCLSII-HE-1.5-IC-0488.pdf page 4
GUNB,LCLS Gun for the Superconducting LINAC,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 3
GV,GATE VALVE,Linac_Housing_Sectors_11-30_RDS.pdf page 8
Gbps,Gigabits per second,HPS_Common_Platform_Engineering_Specification.pdf page 4
GeV,Gigaelectronvolt,Fire_Hazard_Analysis.pdf page 35
GeV,Giga Electron Volts,LCLSII-HE-1.3-SW-0470.pdf page 5
GeV,Giga-electron Volts,CDR-full.pdf page 511
Gig-E,Gigabit-Ethernet,LCLSII_Injector_Laser_Controls_ESD.pdf page 2
GigE,Gigabit Ethernet,HPS_Common_Platform_Engineering_Specification.pdf page 4
Gun-B,MHz repetition rate electron source built by LCLS-II,LCLS-II_Readiness_Review_Process.pdf page 5
H&R,Hoisting and Rigging,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
H-ARPES,High Energy Angle Resolved Photoemission Spectroscopy,CDR-full.pdf page 512
HA,Hazard Analysis,LCLS-II_Readiness_Review_Process.pdf page 5
HAR,Hazards Analysis Report,Report_from_Nov.2017_Meeting_with_ARR_Committee_Chair.pdf page 3
HAR,Hazard Analysis Report,LCLSII-HE-1.1-QA-0230.pdf page 6
HAZCOM,Hazard Communication,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
HCP,Half-cell position,SRD_Dressed_Cavity_TS.pdf page 109
HCP,Hazard Communication Program,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
HDL,Hardware Description Language,FPGA_use_in_Beam_Containment_System_Functional_Safety.pdf page 2
HE,High Energy (Project),LCLSII-HE-1.4-ES-0182.pdf page 3
HE,Short for LCLS-II-HE,LCLSII-HE-1.2-PR-0619.pdf page 3
HE,High-Energy,LCLSII-HE-1.1-PR-0047.pdf page 3
HE,High Energy,LCLSII-HE-1.4-ES-0570.pdf page 3
HEPA,High Efficiency Particle Absorption,CDR-full.pdf page 512
HEPA,High Efficiency Particulate Absolute,Construction_Project_Safety_and_Health_Plan.pdf page 6
HER,PEP-II High Energy Ring,CDR-full.pdf page 512
HEX,High-Energy Extraction,LCLSII-HE-1.3-PR-0021.pdf page 2
HFM,Horizontal Focusing Mirror,XTES_KB_Mirrors.pdf page 2
HFP,High Field Physics,CDR-full.pdf page 512
HFT,Hardware Failure Tolerance,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
HGD,Helium Gas Distribution Skid (Outside North Wall),HRS.00.00-SR-SLAC-SRR-1-Pressure_Safety_Report.pdf page 3
HGRP,"Helium Gas Return Pipe, the 300 mm diameter helium pipe which also serves as the structural backbone of the cold mass, also called GHRP",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
HGRP,Helium Gas Return Pipe,Inspection_Examination_Services__SOW.pdf page 2
HGRP,"Helium Gas Return Pipe, the 300 mm diameter helium pipe which also serves as the structural backbone of the cold mass",3.9_GHz_Cryomodule_Technical_Specification.pdf page 4
HGVPU,Horizontal-Gap Vertically-Polarizing Undulator,HXR_Undulator_Motion_Control_ESD.pdf page 3
HGVPU,Horizontal Gap Vertical Polarized Undulator (This is the HXR),Undulator_Radiation_Monitoring_System.pdf page 3
HGVPU,Horizontal Gap Vertically Polarizing Undulator,LCLS-II_Readiness_Review_Process.pdf page 5
HH,Head House,PPS_Requirements_(Electron_Beamlines).pdf page 3
HHLM,High Heat-load Monochromator,LCLSII-HE-1.4-PR-0277.pdf page 3
HHLM,High Heat Load Pre-monochromator,LCLSII-HE-1.4-ES-0565.pdf page 4
HIPP,Heat Illness Prevention Program,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
HL,Harmonic Linearizer (3.9 GHz RF section),CDR-full.pdf page 512
HL,Harmonic Linearization,Infrastructure_AE_Engineering_Services_CP2_SOW.pdf page 4
HL1 and HL2,3.9 GHz Cryomodules in the upstream string,Cryogenic_Controls_ESD.pdf page 5
HL2,FC-3,Cryomodule_Insulation_Vacuum_Pumping_Procedure.pdf page 20
HLA,High level Applications,Requirements_for_EBD_Beam-dump_Vacuum_Chamber_Protection.pdf page 3
HLA,High level application,LCLSII-HE-1.1-EN-0579.pdf page 3
HLA,High-Level Application,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
HLO,Heat load optimization high-level-application,LCLSII-HE-1.1-EN-0579.pdf page 3
HLS,HydroStatic Leveling System,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 3
HMI,Human-Machine Interface. The operator and user displays and programs.,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
HMI,Human Machine Interface (Process Display),LCLSII-HE-1.2-TS-0206.pdf page 8
HMI,"Human-Machine Interface (GUIs, touchscreens, etc.)",LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 4
HMI,Human-Machine Interface,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
HMI,Human Machine Interface,LCLSII-HE-1.5-FR-0478.pdf page 3
HMI,Human-Machine Interface. BCS touch panel located in ACR network room.,BCS_Absorber_Burn-through_Monitor_BTM.pdf page 3
HMI,Human Machine Interface. The operator and user displays and programs,LCLS-II_Vacuum_Controls_Requirements.pdf page 2
HMI,"Human-Machine Interface. The operator, user displays and programs.",Magnet_Power_Supply_Controls_Functional_Requirements_Specification.pdf page 2
HMSLD,Helium Mass Spectrometer Leak Detector (Detecting),LCLS-II_2K_Cold_box_Assembly.pdf page 4
HOM,Higher-order mode,LCLSII-HE-1.2-TS-0206.pdf page 8
HOM,Higher Order Mode (RF field modes),CDR-full.pdf page 512
HOM Modes,Higher Order Modes in Superconducting Accelerators,Diagnostics.pdf page 1
HOMS,Hard X-Ray Offset Mirror System,CDR-full.pdf page 512
HP,High Pressure,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
HP,Horse Power,CDR-full.pdf page 512
HPA,High Power Amplifier,Justification_of_the_VHF_Gun_RF_Amplifier_Technology_Selection.pdf page 1
HPD,Photon Dump,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
HPD,Hutch Photon Dump,XTES_to_Experimental_End_Stations.pdf page 3
HPD,Hutch Photon Dump (NEH hutch 1.1),Location_Senso_for_Vacuum_Interlock_of_Burn_Through_in_FEE_and_NEH_1.1.pdf page 2
HPD,Hearing Protection Device,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
HPD,Hutch Photon Dump on the SXR line in hutch 1.1,FEE_and_NEH_1.1_Burn_Through_Calculations.pdf page 2
HPHT,High Pressure High Temperature,LCLSII-HE-1.3-PR-0032.pdf page 3
HPL,High Power Laser,LCLSII-HE-1.6-RD-0366.pdf page 3
HPR,High-Pressure Rinse,CDR-full.pdf page 512
HPRF,High Power Radio Frequency,1.3_GHz_Cryomodule_Interlock_Requirements.pdf page 2
HPRF,High-Power RF,LCLSII-HE-1.3-ES-0712.pdf page 3
HPRF,High Power RF,LCLSII-HE-1.3-ES-0075.pdf page 3
HPRF,High-Power Radio Frequency,LCLSII-HE-1.3-IR-0702.pdf page 3
HPS,High Performance System,Bunch_Length_Monitor_BLEN_Controls_Engineering_Specification.pdf page 3
HPS,Hutch Protection System (not currently covered in the scope of this document),PPS_to_InfrastructureSystems.pdf page 2
HPS,Human Protection System,LCLSII-HE-1.5-IC-0488.pdf page 4
HPS,High-Performance System,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
HPS,High Performance Systems,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
HPS,AIR High Performance Systems,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
HPS,Hutch Protection System,XTES_Shield.pdf page 3
HPS,"“High-performance system”, aka “Common Platform”. FPGA-based data acquisition and processing platform -- developed for LCLS-2 accelerator controls -- in ATCA form-factor. Extensive library of firmware components.",High-Performance_System_for_the_XTES_GMD_upgrade_and_XGMD_ESD.pdf page 3
HPS,"Hutch Protection System The ACS for photon experimental systems. These systems are localized systems that control the shutters needed for access, but when fault conditions occur, the safe shut- down of the Accelerator is through the PPS, which controls the machine hazards.",Radiation_Safety_System_Controls.pdf page 4
HPSB,High Performance and Sustainable Buildings,CDR-full.pdf page 512
HRM,High-resolution Monochromator,LCLSII-HE-1.4-PR-0277.pdf page 3
HRM,4f High-resolution Monochromator,LCLSII-HE-1.4-PR-0280.pdf page 2
HRM,4f-High Resolution Monochromator,LCLSII-HE-1.4-ES-0565.pdf page 4
HRS,Helium Refrigeration System,LCLS-II_NEH_Reconfiguration_Independent_Cost_Estimate_(ICE)_Services_SOW.pdf page 3
